模型,测试MAE,测试RMSE,测试MAPE,测试R²,方向准确率
Linear Regression,0.21975505653453392,0.27450975724117316,0.22729792846488897,0.9822323103234658,52.35690235690236
Ridge,0.24130878489165608,0.299191585182074,0.24962024276629066,0.9788936012644154,51.34680134680135
Lasso,0.23890132128283828,0.28506259390671707,0.24571804302147227,0.9808399845811048,52.02020202020202
